# lnz 1
# beta 1
# collect 1
# tmmc 1
# nSweep 2
# wlFlat 20
# lnf 9.53674e-07
# macrostate(nmolstage) lnPi(m) pe pe_stdev colMat(m-1) colMat(m) colMat(m+1) 
0 -68.6551 -1.38354e-15 4.57813e-15 2.22507e-308 61842 12260 
0.5 -64.8705 -1.47552e-15 4.60331e-15 275.477 60811.5 12207 
1 -61.0696 -1.52879e-15 4.60731e-15 281.632 63049.8 12327.5 
1.5 -57.6508 0.000920567 0.0317674 401.013 62261.8 12486.2 
2 -54.2102 0.00208162 0.0498424 395.053 61875.3 11924.7 
2.5 -51.0023 0.00414479 0.0717105 473.017 60617.4 11681.6 
3 -47.8072 0.00553657 0.0760508 487.789 61835.3 11864 
3.5 -44.7544 0.00973726 0.106292 574.37 63470.5 12005.1 
4 -41.7168 0.0151617 0.130457 570.053 62887.9 11849.1 
4.5 -38.7954 0.0179141 0.144195 647.127 63886.4 11833.4 
5 -35.891 0.0254113 0.173164 654.597 64530.5 11924.9 
5.5 -33.0777 0.0306158 0.194203 720.009 64657.2 12211.7 
6 -30.2711 0.0374937 0.214774 735.035 64894.9 11679 
6.5 -27.5732 0.0455709 0.24343 772.413 63649.3 11500.3 
7 -24.8865 0.0533041 0.255903 768.071 62526.2 11155.7 
7.5 -22.2447 0.0606758 0.278578 805.675 63463.4 11216.9 
8 -19.6378 0.0732962 0.301429 816.692 62783.7 10904.6 
8.5 -17.0887 0.083914 0.322205 879.358 64622.6 11378.1 
9 -14.5509 0.0923823 0.325597 893.386 64331.3 11145.3 
9.5 -12.066 0.10508 0.352761 927.76 64308.6 11050.7 
10 -9.60757 0.117899 0.368189 926.301 63198 10607.7 
10.5 -7.20024 0.128814 0.394524 978.688 64735.2 10849.1 
11 -4.81959 0.138979 0.402591 1053.36 67823.6 11495 
11.5 -2.44822 0.157686 0.443153 1089.8 68974.5 11559.7 
12 -0.100194 0.172705 0.466198 1108.17 69327.6 11450.3 
